stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
262,1,1,0,0,2.233333,3.103448,1.705882,-0.407608,1.857143,1.975427,0.138188,5.666667,122995,122995
263,1,1,0,0,1.8,2.758621,1.470588,-0.739335,2,2.083333,0.728987,6.52381,123096,123096
264,1,1,0,0,1.9,2.586207,3.294118,1.831547,1.809524,2.384025,2.375309,4.809524,123101,123101
265,1,1,0,0,2.1,2.724138,1.588235,-0.573471,1.809524,2.113442,0.893837,5.095238,123846,123846
266,1,1,0,0,2.933333,3.551724,1.588235,-0.573471,1.809524,2.180156,1.259103,5.190476,123847,123847
267,1,1,0,0,1.933333,2.413793,1.647059,-0.49054,1.666667,1.964789,0.07994,5.333333,124052,124052
268,1,1,0,0,2.4,3.413793,1.529412,-0.656403,1.761905,2.044337,0.515477,6.619048,124346,124346
269,1,1,0,0,2.966667,3.862069,1.176471,-1.153993,2.263158,2.090802,0.76988,6.047619,124400,124400
270,1,1,0,0,2.366667,3.172414,1.705882,-0.407608,1.947368,1.958619,0.046158,5.904762,124439,124439
271,1,1,0,0,2.033333,2.862069,1.529412,-0.656403,1.578947,1.99368,0.238121,7.190476,124460,124460
272,1,1,0,0,2.2,2.931034,1.588235,-0.573471,1.947368,1.97973,0.161744,7,124639,124639
273,1,1,0,0,2.533333,3.344828,1.588235,-0.573471,2.315789,2.254011,1.663467,6.333333,124849,124849
274,1,1,0,0,3.033333,3.827586,1.470588,-0.739335,2.052632,1.940737,-0.051744,6.952381,127513,127513
275,1,1,0,1,1.8,2.344828,2.823529,1.168094,2.157895,2.164298,1.172276,5.857143,128135,128135
276,1,1,1,0,1.966667,2.896552,1.411765,-0.822266,2.842105,2.135714,1.015779,7.047619,129232,129232
277,1,1,0,0,1.666667,2.482759,1.882353,-0.158813,1.736842,2.355134,2.217129,3.285714,130930,130930
278,1,1,0,0,2.2,2.896552,1.411765,-0.822266,1.947368,2.032256,0.44933,6.047619,132254,132254
279,1,1,0,0,1.466667,2.172414,1.764706,-0.324676,2.052632,1.89726,-0.289787,7.428571,133897,133897
280,1,1,0,0,1.833333,2.413793,5.705882,5.231747,2,2.08266,0.7253,5.714286,135769,135769
281,1,1,0,0,2.3,3.206897,3.411765,1.997411,1.684211,1.986629,0.19952,4.809524,135556,135556
282,1,1,1,0,3.166667,3.965517,2.529412,0.753436,1.684211,1.928432,-0.119119,4.52381,135997,135997
283,1,1,0,0,2.966667,2.896552,1.470588,-0.739335,2.052632,2.036134,0.470567,4.666667,145267,145267
284,1,1,0,0,2.7,3.068966,1.705882,-0.407608,2.263158,2.201905,1.37818,5.952381,166224,166224
285,1,1,0,0,2.266667,2.62069,2,0.00705,1.842105,1.77431,-0.962954,5.333333,180632,180632
286,1,1,0,0,2.4,3.310345,2,0.00705,1.947368,1.872624,-0.424671,6.52381,182543,182543
287,1,1,0,1,1.866667,2.448276,1.411765,-0.822266,1.473684,1.937884,-0.067366,6.047619,185563,185563
288,1,1,0,0,2.066667,3.37931,1.647059,-0.49054,1.578947,1.80933,-0.771217,6.571429,188854,188854
289,1,1,0,0,1.833333,2.551724,1.647059,-0.49054,2.263158,2.169699,1.201852,5.190476,189262,189262
290,1,1,0,0,2.2,2.793103,2.352941,0.504641,2.052632,1.860268,-0.492325,7.095238,197598,197598
291,1,1,0,0,3.3,3.758621,2.235294,0.338777,1.473684,1.80694,-0.7843,4.904762,200754,200754
292,0,1,0,0,3.333333,3.068966,2.294118,0.421709,2.473684,1.903314,-0.25664,4.52381,118384,726351
293,0,1,0,0,2.366667,3.965517,1.411765,-0.822266,2.052632,1.963861,0.074858,5.285714,118675,140883
294,0,1,0,0,2.466667,2.586207,1.529412,-0.656403,2.736842,1.84676,-0.56628,6.380952,120691,42451
295,0,1,0,0,2.333333,4.137931,1.529412,-0.656403,3.157895,1.795726,-0.845697,6.761905,121338,114474
296,0,1,0,0,2.533333,2.517241,2.470588,0.670504,2.315789,1.773256,-0.968727,6,122653,K77419
297,0,1,0,0,2.533333,3,1.529412,-0.656403,1.684211,1.810047,-0.767289,7.142857,122831,E13011
298,0,1,0,0,1.733333,3.37931,3.588235,2.246206,2.736842,2.263061,1.71302,5.142857,124330,983369
299,0,1,0,0,2.766667,3.655172,1.764706,-0.324676,2.263158,1.927632,-0.1235,5.380952,124489,103884
300,0,1,0,0,2.566667,3.034483,1.294118,-0.98813,2.894737,2.204489,1.39233,6.571429,124869,767816
301,0,1,0,0,2.833333,3.241379,1.705882,-0.407608,1.736842,1.829844,-0.6589,7.428571,125128,73644
302,0,1,0,0,2.366667,2.931034,1.470588,-0.739335,1.578947,1.811581,-0.758893,7.333333,126382,166143
303,0,1,0,0,2.066667,3.344828,1.705882,-0.407608,1.684211,2.172517,1.217277,5.761905,126913,x12536
304,0,1,0,0,2.8,2.62069,2,0.00705,2.842105,2.140989,1.044659,4.857143,128006,K02412
305,0,1,0,0,2,2.724138,1.705882,-0.407608,2.210526,1.843373,-0.584824,6.52381,130909,95290
306,0,1,0,0,1.733333,2.827586,3.764706,2.495001,2.473684,2.163337,1.167017,5.190476,133213,91858
307,0,1,0,0,2.233333,2.689655,1.882353,-0.158813,3,2.053571,0.566036,4.761905,135568,863153
308,0,1,0,0,1.9,4.068966,1.823529,-0.241745,2.105263,2.078714,0.703695,5.428571,137911,P17407
309,0,1,0,0,3.633333,2.965517,3.764706,2.495001,2.157895,1.91622,-0.18598,4.619048,138154,12902
310,0,1,0,0,2,3.172414,1.941176,-0.075881,3.263158,1.909639,-0.222014,5.809524,138221,165058
311,0,1,1,0,2.833333,2.931034,1.470588,-0.739335,1.526316,1.927398,-0.124777,6.571429,138239,166296
312,0,1,0,0,1.8,3.517241,1.705882,-0.407608,2.052632,1.855498,-0.518438,7.619048,138732,B05045
