stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
304,0,1,0,0,2.8,2.62,2,0.01,2.84,2.14,1.04,4.86,128006,K02412
305,0,1,0,0,2,2.72,1.71,-0.41,2.21,1.84,-0.58,6.52,130909,95290
306,0,1,0,0,1.73,2.83,3.76,2.5,2.47,2.16,1.17,5.19,133213,91858
307,0,1,0,0,2.23,2.69,1.88,-0.16,3,2.05,0.57,4.76,135568,863153
308,0,1,0,0,1.9,4.07,1.82,-0.24,2.11,2.08,0.7,5.43,137911,P17407
309,0,1,0,0,3.63,2.97,3.76,2.5,2.16,1.92,-0.19,4.62,138154,12902
310,0,1,0,0,2,3.17,1.94,-0.08,3.26,1.91,-0.22,5.81,138221,165058
311,0,1,1,0,2.83,2.93,1.47,-0.74,1.53,1.93,-0.12,6.57,138239,166296
312,0,1,0,0,1.8,3.52,1.71,-0.41,2.05,1.86,-0.52,7.62,138732,B05045
313,0,1,0,0,2.5,2.21,2.18,0.26,2.42,1.66,-1.59,7.1,138816,126605
314,0,1,0,0,1.9,3.83,1.53,-0.66,1.47,1.82,-0.69,6.48,139753,Q05415
315,0,1,0,0,3.1,3.14,3.47,2.08,1.63,1.92,-0.19,4.57,139803,Y53722
316,0,1,0,0,2,3.38,1.71,-0.41,2.11,1.75,-1.11,6.76,140306,X11717
317,0,1,1,0,2.43,3.93,1.59,-0.57,1.95,2.23,1.52,7.52,140567,G03557
318,0,1,0,0,2,3.45,2.06,0.09,2.21,2.03,0.44,6.67,140612,C06442
319,0,1,0,0,2.57,2.93,1.59,-0.57,2,1.67,-1.52,6.52,165805,112359
320,0,1,0,0,2.57,2.69,1.94,-0.08,1.68,2.03,0.42,6.43,165844,756004
321,0,1,0,0,3.27,3.62,1.24,-1.07,1.84,1.79,-0.9,6,165945,480984
322,0,1,0,0,2.07,3.34,1.65,-0.49,2.11,1.77,-1.01,6.81,166547,88585
323,0,1,0,0,1.67,3.45,1.88,-0.16,1.89,2.1,0.81,5.38,167128,467839
324,0,1,0,0,2.8,3.52,1.65,-0.49,1.63,1.86,-0.51,5.52,168018,785821
325,1,-1,0,0,2.28,1.83,7,1.48,2.2,2.08,0.12,4.82,218693,218693
326,1,-1,0,0,2.45,2.17,6.52,0.76,1.73,2.36,1.59,6.91,233984,233984
327,1,-1,0,0,3.03,2.55,6.62,0.91,3.4,2.01,-0.24,4.27,268130,268130
328,1,-1,0,0,1.83,2.14,4.52,-2.22,2.53,2.01,-0.21,5.91,286020,286020
329,1,-1,0,0,3.28,2.86,6.33,0.48,2.6,2.05,-0.03,6.36,286173,286173
330,1,-1,0,0,3.52,3.14,5.48,-0.8,2.93,1.7,-1.85,4.68,288322,288322
331,1,-1,0,0,3.34,2.59,6.48,0.69,3.47,2.16,0.56,4.82,300807,300807
332,1,-1,1,0,4.28,3.55,6.24,0.34,1.53,2.03,-0.1,4.86,309567,309567
333,1,-1,0,0,3.07,2.48,5.95,-0.09,4,2.28,1.22,4.68,310094,310094
334,1,-1,0,0,3.17,2.76,6.19,0.27,2.2,2.1,0.23,4.18,314648,314648
335,1,-1,0,0,2.48,2.1,5.29,-1.08,2.2,2.17,0.59,5.64,318987,318987
336,1,-1,0,0,1.93,1.83,6.29,0.41,3.07,2.06,0.04,5.64,330290,330290
337,1,-1,1,0,3.79,3.03,6.1,0.12,3.8,2.55,2.62,3.14,338043,338043
338,1,-1,1,0,3.48,3.31,6.05,0.05,2.8,1.86,-1.02,5.32,347463,347463
339,1,-1,0,0,2.69,2.86,6.38,0.55,2.93,2.31,1.34,5.68,368527,368527
340,1,-1,0,0,3.31,2.76,6.62,0.91,3.13,2.05,-0.02,5.55,406356,406356
341,1,-1,0,0,2.93,2.21,6.19,0.27,2.87,1.97,-0.43,5.91,420481,420481
342,1,-1,0,0,3.9,2.76,5.52,-0.73,4.53,2.08,0.14,3.05,436687,436687
343,1,-1,1,0,3.9,3.28,6.57,0.84,4.4,2.38,1.75,4.77,440701,440701
344,1,-1,0,0,2.76,2.59,6.29,0.41,4,1.96,-0.48,4.36,444904,444904
345,1,-1,1,0,3.59,2.62,6.33,0.48,3.33,2.29,1.24,4.77,447891,447891
346,0,-1,0,0,3.38,3.28,6.05,0.05,3.67,2.09,0.19,3.68,314377,187861
347,0,-1,0,0,2.66,2.59,6.33,0.48,4.67,2.05,-0.03,5.14,334606,95699
348,0,-1,0,0,2.76,2.59,6.81,1.19,2.6,2.37,1.65,6.09,361531,M09499
349,0,-1,0,0,3.79,2.72,5.95,-0.09,1.6,1.7,-1.85,5.41,382710,94485
350,0,-1,0,0,3.97,2.93,6.67,0.98,1.73,1.98,-0.41,5.64,397205,715533
351,0,-1,0,0,2.76,2.83,6.14,0.2,2,2.11,0.32,5.55,405001,220568
352,0,-1,0,0,3.59,2.55,7.05,1.55,2.73,1.88,-0.92,4.73,426835,617512
353,0,-1,0,0,3.48,2.62,5.81,-0.3,1.67,1.96,-0.5,4.05,444523,189492
354,0,-1,0,0,2.83,3,6.76,1.12,2.07,1.92,-0.71,5.41,448608,818055
